[2.02628042 9.45438349 8.24096938],[1.]
[6.60749234 1.1719827  1.14409829],[0.]
[2.27839268 6.23195003 0.61153524],[1.]
[8.92275517 0.38896296 1.35510087],[1.]
[2.8998193  9.120259   2.28148483],[1.]
[9.88488203 8.83614912 2.96400631],[1.]
[2.09051565 5.58878259 4.12947023],[0.]
[4.19910768 9.29284824 4.43721561],[1.]
[4.31159703 0.12764686 8.4582157 ],[0.]
[2.97148465 4.17720416 3.5664595 ],[0.]
[4.69555193 1.47817204 4.13058577],[0.]
[0.81803628 3.87136419 4.3937349 ],[0.]
[9.26472667 1.69175641 4.50313572],[1.]
[5.66853623 2.84054255 4.50451728],[1.]
[3.47723571 5.8522262  4.17830625],[1.]
[6.82828703 3.02016632 6.95514221],[1.]
[9.88849331 4.02978314 2.77032959],[1.]
[9.41381362 5.95531142 2.25749773],[1.]
[7.56793893 5.7807349  6.19012987],[1.]
[8.14579755 7.35809087 5.8312469 ],[1.]
[9.13261244 7.66248076 8.59278936],[1.]
[1.45860247 0.65704343 9.97096848],[0.]
[3.61090892e-03 4.40760169e+00 7.33063590e+00],[0.]
[9.09017524 1.26475046 6.73238616],[1.]
[4.65707352 4.47969179 9.48972966],[1.]
[1.11397895 5.79589667 4.62911852],[0.]
[6.5384563  9.23150947 6.55598768],[1.]
[2.0282713  8.53742637 1.4770813 ],[1.]
[8.09183728 3.37108048 3.94659737],[1.]
[3.52153909 7.31764349 3.05909817],[1.]
[0.60731677 5.92595257 8.67088274],[0.]
[4.79742387 4.21045684 0.85476575],[1.]
[4.58871262 3.64442642 6.86778397],[1.]
[0.33039011 6.48978835 8.7337806 ],[0.]
[8.94714601 5.33371001 3.51838626],[1.]
[2.44975757 9.50351412 8.76657957],[1.]
[1.32346554 6.89924041 6.99084333],[1.]
[5.08110954 1.7947335  8.37347606],[0.]
[0.73920639 4.0843529  5.50175556],[0.]
[3.10736758 8.25527681 8.7116881 ],[1.]
